name,type,path,owner,status,notes
local_csv_isign,metadata,.csv/iSign_v1.1.csv,repo,available,"Main iSign uid -> text metadata"
local_csv_word_presence,metadata,.csv/word-presence-dataset_v1.1.csv,repo,available,"word_id -> example sentence_id mapping"
local_csv_word_description,metadata,.csv/word-description-dataset_v1.1.csv,repo,available,"word_id -> description sentence_id mapping"
local_csv_glosses,metadata,.csv/glosses.csv,repo,available,"491 sentence text -> SIGN GLOSSES"
local_manifest_isign,generated_manifest,data/manifests/isign_metadata.csv,repo,available,"Generated from iSign CSVs; category + relation fields"
local_subset_words,generated_subset,data/subsets/isign_words.csv,repo,available,"586 iSign word video rows"
local_subset_descriptions,generated_subset,data/subsets/isign_descriptions.csv,repo,available,"574 iSign description video rows"
local_subset_examples,generated_subset,data/subsets/isign_examples.csv,repo,available,"1492 iSign example sentence video rows"
local_subset_general_sentences,generated_subset,data/subsets/isign_general_sentences.csv,repo,available,"124585 iSign general sentence video rows"
server_isign_videos,raw_video,/mnt/ngan/isign_videos,server,external,"127k iSign videos; uid filenames"
server_isign_words,derived_video,/mnt/ngan/isign_words,server,external,"Extracted *_w word videos from iSign"
server_recognition_root,legacy_model_data,/mnt/ngan/recognition,server,read_only,"Isolated sign recognition project/data"
server_recognition_checkpoint,checkpoint,/mnt/ngan/recognition/checkpoints/mlp/best_model,server,read_only,"Trained word recognition model"
server_recognition_sequences,keypoints,/mnt/ngan/recognition/sequences,server,read_only,"Word-level keypoint sequences"
server_project_outputs,output_root,/mnt/ngan/ISL-Sequences,server,writable,"Project outputs: manifests, keypoints, checkpoints, logs"
server_491_videos,legacy_sentence_video,/mnt/ngan/ISL-Sequences/videos,server,external,"491 sentence videos if present"
server_491_keypoints,legacy_sentence_keypoints,/mnt/ngan/ISL-Sequences/keypoints,server,external,"491 sentence keypoints if present"
server_static_images,legacy_data,/mnt/ngan/ISL-Frames-Data,server,read_only,"Old static image word data"
server_vsl_data,legacy_data,/mnt/ngan/vsl_data,server,read_only,"Old word video clips"
