uid,text,category,video_path,exists,extension,word,word_id,relation_type,source_csv,example_count,description_count
0EaLX2t1wPU_d,fast or sudden.,description,,0,,rapid,0EaLX2t1wPU_w,defines_word,word-description-dataset_v1.1.csv,0,0
0FUZJWoZ7Ho_d,having little value or importance,description,,0,,trivial,0FUZJWoZ7Ho_w,defines_word,word-description-dataset_v1.1.csv,0,0
0gXoXdqFarg_d,money that is paid to someone in exchange for something that has been lost or damaged or for some problem,description,,0,,compensation,0gXoXdqFarg_w,defines_word,word-description-dataset_v1.1.csv,0,0
0k_QNlHob74_d,"If a machine or vehicle breaks down, it stops working",description,,0,,break down,0k_QNlHob74_w,defines_word,word-description-dataset_v1.1.csv,0,0
0pth6-vW81w_d,"able to make decisions quickly and confidently, or showing this quality.",description,,0,,decisive,0pth6-vW81w_w,defines_word,word-description-dataset_v1.1.csv,0,0
0u6f9dxpCAI_d,a member of the government in Britain and many other countries who is in charge of a particular department or has an important position in it,description,,0,,minister,0u6f9dxpCAI_w,defines_word,word-description-dataset_v1.1.csv,0,0
0WtA2tG2DYA_d,the ability to say or do the right thing without making anyone unhappy or angry,description,,0,,tact,0WtA2tG2DYA_w,defines_word,word-description-dataset_v1.1.csv,0,0
0YoN6sdJ84Y_d,"to behave as if something is true when you know that it is not, especially in order to deceive people or as a game",description,,0,,pretend,0YoN6sdJ84Y_w,defines_word,word-description-dataset_v1.1.csv,0,0
1A_qjxuOGNg_d,an uncomfortable feeling when you doubt if you are doing the right thing,description,,0,,qulam,1A_qjxuOGNg_w,defines_word,word-description-dataset_v1.1.csv,0,0
1BN1txMJPpo_d,"to make a complaint in an unhappy voice, usually about something that does not seem important to other people",description,,0,,moan,1BN1txMJPpo_w,defines_word,word-description-dataset_v1.1.csv,0,0
1_DthSKKZDU_d,to show or make something clear.,description,,0,,demonstrate,1_DthSKKZDU_w,defines_word,word-description-dataset_v1.1.csv,0,0
1k-AsMjTZbI_d,"the process of doing something, especially when dealing with a problem or difficulty",description,,0,,action,1k-AsMjTZbI_w,defines_word,word-description-dataset_v1.1.csv,0,0
1Kus_VFkXlk_d,"If an unpleasant feeling or situation persists, it continues to exist",description,,0,,persist,1Kus_VFkXlk_w,defines_word,word-description-dataset_v1.1.csv,0,0
1TqHCiBoJMs_d,"to get something, especially by asking for it, buying it, working for it, or producing it from something else",description,,0,,obtain,1TqHCiBoJMs_w,defines_word,word-description-dataset_v1.1.csv,0,0
1y33mnpgqyE_d,"to add as part of something else; put in as part of a set, group, or category",description,,0,,include,1y33mnpgqyE_w,defines_word,word-description-dataset_v1.1.csv,0,0
21Toxytaq_A_d,to support or improve something or make it stronger,description,,0,,bolster,21Toxytaq_A_w,defines_word,word-description-dataset_v1.1.csv,0,0
29HmB-dzhZo_d,"to make an urgent, emotional statement or request for something.",description,,0,,plead,29HmB-dzhZo_w,defines_word,word-description-dataset_v1.1.csv,0,0
2A5tpFkt8ic_d,"to express great pleasure or happiness, especially at someone else's defeat or failure",description,,0,,exult,2A5tpFkt8ic_w,defines_word,word-description-dataset_v1.1.csv,0,0
2BPZs83dBQg_d,"especially, or more than usual",description,,0,,particularly,2BPZs83dBQg_w,defines_word,word-description-dataset_v1.1.csv,0,0
2Fq4W-J5MZw_d,to use something for the wrong purpose in a way that is harmful or morally wrong,description,,0,,abuse,2Fq4W-J5MZw_w,defines_word,word-description-dataset_v1.1.csv,0,0
2H-t8bYQGUE_d,able to change or be changed easily according to the situation.,description,,0,,flexible,2H-t8bYQGUE_w,defines_word,word-description-dataset_v1.1.csv,0,0
2ldqLNKUekA_d,the particular combination of qualities in a person or place that makes them different from others,description,,0,,character,2ldqLNKUekA_w,defines_word,word-description-dataset_v1.1.csv,0,0
2LUrrdA633g_d,"to say that an event or action will happen in the future, especially as a result of knowledge or experience",description,,0,,predict,2LUrrdA633g_w,defines_word,word-description-dataset_v1.1.csv,0,0
2nJ6ahb45OU_d,a close friend,description,,0,,buddy,2nJ6ahb45OU_w,defines_word,word-description-dataset_v1.1.csv,0,0
2_qktKmVcNQ_d,having or showing practical knowledge and experience,description,,0,,savvy,2_qktKmVcNQ_w,defines_word,word-description-dataset_v1.1.csv,0,0
2rrQeCAecbU_d,"to limit an activity, person, or problem in some way",description,,0,,confine,2rrQeCAecbU_w,defines_word,word-description-dataset_v1.1.csv,0,0
30weefbWxWs_d,no person,description,,0,,no one,30weefbWxWs_w,defines_word,word-description-dataset_v1.1.csv,0,0
3G3wXa7Ax_A_d,"the fact of being with a person or people, or the person or people you are with",description,,0,,company,3G3wXa7Ax_A_w,defines_word,word-description-dataset_v1.1.csv,0,0
3hAYTF2TKGc_d,to do something again,description,,0,,redo,3hAYTF2TKGc_w,defines_word,word-description-dataset_v1.1.csv,0,0
3mMDY-zHiH8_d,"to flow slowly out of something through a small opening, or to slowly produce a thick sticky liquid",description,,0,,ooze,3mMDY-zHiH8_w,defines_word,word-description-dataset_v1.1.csv,0,0
3N7i4iMB4_U_d,to embarrass someone or make them feel uncomfortable,description,,0,,abash,3N7i4iMB4_U_w,defines_word,word-description-dataset_v1.1.csv,0,0
3TOhOciY-v8_d,"to force someone to go somewhere with you, often using threats or violence.",description,,0,,abduct,3TOhOciY-v8_w,defines_word,word-description-dataset_v1.1.csv,0,0
