uid,text,category,video_path,exists,extension,word,word_id,relation_type,source_csv,example_count,description_count
0EaLX2t1wPU_w,rapid,word,,0,,rapid,0EaLX2t1wPU_w,word,word-description-dataset_v1.1.csv,0,1
0FUZJWoZ7Ho_w,trivial,word,,0,,trivial,0FUZJWoZ7Ho_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
0gXoXdqFarg_w,compensation,word,,0,,compensation,0gXoXdqFarg_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
0k_QNlHob74_w,break down,word,,0,,break down,0k_QNlHob74_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,3,1
0pth6-vW81w_w,decisive,word,,0,,decisive,0pth6-vW81w_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
0u6f9dxpCAI_w,minister,word,,0,,minister,0u6f9dxpCAI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
0WtA2tG2DYA_w,tact,word,,0,,tact,0WtA2tG2DYA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
0YoN6sdJ84Y_w,pretend,word,,0,,pretend,0YoN6sdJ84Y_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
1A_qjxuOGNg_w,qulam,word,,0,,qulam,1A_qjxuOGNg_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
1BN1txMJPpo_w,moan,word,,0,,moan,1BN1txMJPpo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
1_DthSKKZDU_w,demonstrate,word,,0,,demonstrate,1_DthSKKZDU_w,word,word-description-dataset_v1.1.csv,0,1
1k-AsMjTZbI_w,action,word,,0,,action,1k-AsMjTZbI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
1Kus_VFkXlk_w,persist,word,,0,,persist,1Kus_VFkXlk_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
1TqHCiBoJMs_w,obtain,word,,0,,obtain,1TqHCiBoJMs_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
1y33mnpgqyE_w,include,word,,0,,include,1y33mnpgqyE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
21Toxytaq_A_w,bolster,word,,0,,bolster,21Toxytaq_A_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
29HmB-dzhZo_w,plead,word,,0,,plead,29HmB-dzhZo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
2A5tpFkt8ic_w,exult,word,,0,,exult,2A5tpFkt8ic_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
2am65aHTIRA_w,competent,word,,0,,competent,2am65aHTIRA_w,word,word-description-dataset_v1.1.csv,0,1
2BPZs83dBQg_w,particularly,word,,0,,particularly,2BPZs83dBQg_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
